disease,category,severity,specialist,description,causes,risk_factors,prevention,recovery_time,emergency_signs,contagious,self_care,diet,aliases
Contact Dermatitis,Skin & Dermatology,Moderate,Dermatologist,Contact Dermatitis is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","contact dermatitis, contact-dermatitis"
Corneal Abrasion,Ophthalmology,Moderate,Ophthalmologist,Corneal Abrasion is a medical condition affecting the ophthalmology system requiring proper evaluation and treatment by a Ophthalmologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Ophthalmologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","corneal abrasion, corneal-abrasion"
Crohn Disease,Gastroenterology,Moderate to High,Gastroenterologist,"A chronic inflammatory bowel disease (IBD) that can affect any part of the GI tract, causing abdominal pain, severe diarrhea, fatigue, and malnutrition.","Exact cause unknown. Involves immune system dysfunction, genetics (NOD2 gene), and environmental triggers.","Family history, smoking (strongest modifiable risk), age 15-35, Ashkenazi Jewish heritage, Western diet, NSAIDs.","No proven prevention. Quit smoking, anti-inflammatory diet, stress management may reduce flares.",Chronic condition with flares and remissions. Flares may last weeks to months. Lifelong management needed.,"Severe abdominal pain with distension, high fever, bloody diarrhea with dizziness, signs of bowel obstruction (vomiting, inability to pass gas).",No,"Partial — diet modifications, stress management during remission. Active flares require medical treatment.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","crohn disease, crohn-disease"
Croup,Respiratory,High,Pulmonologist / Chest Specialist,Croup is a medical condition affecting the respiratory system requiring proper evaluation and treatment by a Pulmonologist / Chest Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Pulmonologist / Chest Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","croup, croup"
Cushing Syndrome,Endocrinology,Moderate,Endocrinologist,Cushing Syndrome is a medical condition affecting the endocrinology system requiring proper evaluation and treatment by a Endocrinologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Endocrinologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","cushing syndrome, cushing-syndrome"
Deep Vein Thrombosis,Cardiovascular,Critical,Cardiologist,Deep Vein Thrombosis is a medical condition affecting the cardiovascular system requiring proper evaluation and treatment by a Cardiologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Cardiologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","deep vein thrombosis, deep-vein-thrombosis"
Dehydration Syndrome,General Medicine,Moderate,General Physician,Dehydration Syndrome is a medical condition affecting the general medicine system requiring proper evaluation and treatment by a General Physician.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a General Physician.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","dehydration syndrome, dehydration-syndrome"
Dengue,Infectious Diseases,Moderate to High,Infectious Disease Specialist / General Physician,"A mosquito-borne viral infection causing high fever, severe body pain, rash, and in severe cases, hemorrhagic complications.",Dengue virus (4 serotypes) transmitted through Aedes aegypti mosquito bites. Second infection with different serotype increases severity risk.,"Living in/traveling to tropical areas, prior dengue infection (different serotype), rainy season, stagnant water near residence.","Mosquito control, eliminate breeding sites (stagnant water), use repellent, wear protective clothing, dengue vaccination where available.",7-10 days. Post-recovery fatigue may last 2-4 weeks.,"Severe abdominal pain, persistent vomiting, bleeding gums/nose, blood in vomit/stool, rapid platelet drop, restlessness, cold clammy skin.",Not person-to-person (mosquito vector only),"Mild cases: rest, hydration, paracetamol (NO aspirin/ibuprofen). Monitor platelet count. Seek hospital care if warning signs appear.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","dengue, dengue"
Deviated Septum,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Deviated Septum is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","deviated septum, deviated-septum"
Diabetes,Endocrinology,Moderate to High,Endocrinologist / Diabetologist,A chronic metabolic disorder characterized by elevated blood glucose levels due to insufficient insulin production or insulin resistance.,"Type 2: insulin resistance + progressive beta-cell dysfunction. Genetic predisposition with lifestyle factors (obesity, inactivity, poor diet).","Obesity, sedentary lifestyle, family history, age >45, gestational diabetes history, PCOS, certain ethnicities.","Maintain healthy weight, regular exercise (150 min/week), balanced diet, regular blood sugar screening after age 45.",Chronic condition — requires lifelong management. Well-controlled diabetes allows normal quality of life.,"Blood sugar >300 mg/dL, diabetic ketoacidosis (fruity breath, vomiting, confusion), hypoglycemia (shakiness, confusion, loss of consciousness).",No,"Partial — blood sugar monitoring, diet management, exercise. Most patients need prescribed medications. Regular check-ups essential.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","diabetes, diabetes"
Dimorphic hemmorhoids(piles),Gastroenterology,Moderate,Gastroenterologist,Dimorphic hemmorhoids(piles) is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","dimorphic hemmorhoids(piles), dimorphic-hemmorhoids(piles)"
Diphtheria,Infectious Diseases,High,Infectious Disease Specialist,Diphtheria is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","diphtheria, diphtheria"
Diverticulitis,Gastroenterology,Moderate,Gastroenterologist,Diverticulitis is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","diverticulitis, diverticulitis"
Drug Reaction,General Medicine,Moderate,General Physician,Drug Reaction is a medical condition affecting the general medicine system requiring proper evaluation and treatment by a General Physician.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a General Physician.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","drug reaction, drug-reaction"
Dry Eye Syndrome,Ophthalmology,Moderate,Ophthalmologist,Dry Eye Syndrome is a medical condition affecting the ophthalmology system requiring proper evaluation and treatment by a Ophthalmologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Ophthalmologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","dry eye syndrome, dry-eye-syndrome"
Eczema,Skin & Dermatology,Moderate,Dermatologist,Eczema is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","eczema, eczema"
Endocarditis,Cardiovascular,Critical,Cardiologist,Endocarditis is a medical condition affecting the cardiovascular system requiring proper evaluation and treatment by a Cardiologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Cardiologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","endocarditis, endocarditis"
Epiglottitis,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Epiglottitis is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","epiglottitis, epiglottitis"
Epilepsy,Neurological,Moderate to High,Neurologist / Epileptologist,"A neurological disorder characterized by recurrent, unprovoked seizures due to abnormal electrical activity in the brain.","Brain injury, stroke, genetic factors, infections (meningitis), developmental disorders. Often cause is unknown.","Family history, head trauma, stroke, brain infections, premature birth, abnormal brain development.","Wear seat belts and helmets, prevent head injuries, manage stroke risk factors, prenatal care to reduce birth complications.",Chronic condition — 60-70% of patients achieve seizure control with medication. Some may eventually discontinue treatment.,"Seizure lasting >5 minutes, repeated seizures without recovery, breathing difficulties after seizure, seizure in water, first-time seizure.",No,"Partial — medication adherence, adequate sleep, avoid seizure triggers (alcohol, flashing lights). Emergency plan needed.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","epilepsy, epilepsy"
Fibromyalgia,Rheumatology & Autoimmune,High,Rheumatologist,Fibromyalgia is a medical condition affecting the rheumatology & autoimmune system requiring proper evaluation and treatment by a Rheumatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Rheumatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","fibromyalgia, fibromyalgia"
Folliculitis,Skin & Dermatology,Moderate,Dermatologist,Folliculitis is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","folliculitis, folliculitis"
Food Poisoning,Gastroenterology,Moderate,Gastroenterologist,Food Poisoning is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","food poisoning, food-poisoning"
Fungal infection,Skin & Dermatology,Low to Moderate,Dermatologist,"Skin infections caused by fungi (dermatophytes), presenting as itchy, red, ring-shaped or patchy lesions on skin, nails, or scalp.","Dermatophyte fungi (Trichophyton, Microsporum, Epidermophyton) spread through direct contact or contaminated surfaces.","Warm humid climate, excessive sweating, tight clothing, shared personal items, weakened immunity, diabetes.","Keep skin dry, wear breathable fabrics, avoid sharing towels/clothing, treat athlete's foot to prevent spread, antifungal powder in shoes.",Skin: 2-4 weeks. Nails: 3-6 months. Scalp: 4-8 weeks.,"Rapidly spreading redness with fever, pus drainage, severe pain (may indicate bacterial superinfection).",Yes (direct contact and fomites),"Yes for mild cases — OTC antifungal cream/powder, keep area dry. See doctor if not improving in 2 weeks.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","fungal infection, fungal-infection"
GERD,Gastroenterology,Low to Moderate,Gastroenterologist,"A chronic digestive condition where stomach acid frequently flows back into the esophagus, causing heartburn and acid regurgitation.","Weakened lower esophageal sphincter allowing acid reflux. Contributing factors include obesity, hiatal hernia, pregnancy, delayed gastric emptying.","Obesity, pregnancy, hiatal hernia, smoking, certain foods (spicy, fatty, citrus), eating late at night, certain medications.","Maintain healthy weight, eat smaller meals, avoid lying down after eating, elevate head of bed, avoid trigger foods, quit smoking.",Symptoms improve in 2-4 weeks with treatment. Chronic condition requiring ongoing lifestyle management.,"Severe chest pain (rule out heart attack), difficulty swallowing, vomiting blood, black/tarry stools, unexplained weight loss.",No,"Yes for mild symptoms — antacids, dietary changes, weight management. See doctor for frequent symptoms (>2x/week).","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","gerd, gerd"
Gallstones,Gastroenterology,Moderate,Gastroenterologist,Gallstones is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","gallstones, gallstones"
Gastritis,Gastroenterology,Moderate,Gastroenterologist,Gastritis is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","gastritis, gastritis"
Gastroenteritis,Gastroenterology,Moderate,Gastroenterologist,Gastroenteritis is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","gastroenteritis, gastroenteritis"
Glaucoma,Ophthalmology,Moderate,Ophthalmologist,Glaucoma is a medical condition affecting the ophthalmology system requiring proper evaluation and treatment by a Ophthalmologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Ophthalmologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","glaucoma, glaucoma"
Gout,Endocrinology,Moderate,Endocrinologist,Gout is a medical condition affecting the endocrinology system requiring proper evaluation and treatment by a Endocrinologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Endocrinologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","gout, gout"
Hand Foot Mouth Disease,Infectious Diseases,High,Infectious Disease Specialist,Hand Foot Mouth Disease is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","hand foot mouth disease, hand-foot-mouth-disease"
Heart attack,Cardiovascular,Critical,Cardiologist,"A medical emergency where blood flow to part of the heart muscle is blocked, causing tissue damage. Requires immediate treatment.","Coronary artery blockage from atherosclerotic plaque rupture, blood clot formation.","High cholesterol, hypertension, smoking, diabetes, obesity, family history, sedentary lifestyle, stress.","Regular exercise, heart-healthy diet, manage BP/cholesterol/diabetes, quit smoking, stress management.",Hospital: 3-5 days. Full recovery: 3-6 months. Cardiac rehab recommended.,"CALL EMERGENCY IMMEDIATELY. Crushing chest pain, pain radiating to arm/jaw, cold sweat, severe shortness of breath, nausea.",No,NO — this is a medical emergency. Call ambulance immediately. Chew aspirin if not allergic.,"Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","heart attack, heart-attack"
Heat Stroke,General Medicine,Moderate,General Physician,Heat Stroke is a medical condition affecting the general medicine system requiring proper evaluation and treatment by a General Physician.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a General Physician.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","heat stroke, heat-stroke"
Hemorrhagic Gastritis,Gastroenterology,Moderate,Gastroenterologist,Hemorrhagic Gastritis is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","hemorrhagic gastritis, hemorrhagic-gastritis"
Hepatitis B,Gastroenterology,Moderate,Gastroenterologist,Hepatitis B is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","hepatitis b, hepatitis-b"
Hepatitis C,Gastroenterology,Moderate,Gastroenterologist,Hepatitis C is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","hepatitis c, hepatitis-c"
Hepatitis D,Gastroenterology,Moderate,Gastroenterologist,Hepatitis D is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","hepatitis d, hepatitis-d"
Hepatitis E,Gastroenterology,Moderate,Gastroenterologist,Hepatitis E is a medical condition affecting the gastroenterology system requiring proper evaluation and treatment by a Gastroenterologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Gastroenterologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","hepatitis e, hepatitis-e"
Herpes Simplex,Infectious Diseases,High,Infectious Disease Specialist,Herpes Simplex is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","herpes simplex, herpes-simplex"
Hyperparathyroidism,Endocrinology,Moderate,Endocrinologist,Hyperparathyroidism is a medical condition affecting the endocrinology system requiring proper evaluation and treatment by a Endocrinologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Endocrinologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","hyperparathyroidism, hyperparathyroidism"
Hypertension,Cardiovascular,Moderate to High,Cardiologist / Internal Medicine,"Persistently elevated blood pressure (≥140/90 mmHg) that increases risk of heart disease, stroke, and kidney damage. Often called the 'silent killer'.","Primary: unknown (95% of cases). Secondary: kidney disease, hormonal disorders, medications, sleep apnea.","Family history, age >45, obesity, high salt diet, sedentary lifestyle, stress, excessive alcohol, smoking.","Low-sodium diet, regular exercise, maintain healthy weight, limit alcohol, manage stress, regular BP monitoring.",Chronic condition — requires lifelong management,"BP >180/120, severe headache, chest pain, vision changes, difficulty speaking, blood in urine, seizures.",No,Partial — lifestyle modifications help. Most patients need prescribed medications. Regular monitoring essential.,"Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","hypertension, hypertension"
Hyperthyroidism,Endocrinology,Moderate,Endocrinologist,Hyperthyroidism is a medical condition affecting the endocrinology system requiring proper evaluation and treatment by a Endocrinologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Endocrinologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","hyperthyroidism, hyperthyroidism"
